,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t03.lda,,,,,,,,,,,,,,,,,,
1,18:05:01,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
5,15.00	-0.85	0.00	18:05:01	250	50.19	95.18	-0.3708	0.0284	0.1852	0.1732	0.0230	0.0215	0.0163	0.0152	19	25,,,,,,,,,,,,,,,,,,
6,15.00	-0.35	0.00	18:05:13	236	47.43	96.02	-0.3841	0.0571	0.1980	0.1854	0.0253	0.0237	0.0179	0.0168	12	25,,,,,,,,,,,,,,,,,,
7,15.00	0.15	0.00	18:05:25	265	53.32	93.58	-0.3813	0.0646	0.1666	0.2079	0.0201	0.0251	0.0142	0.0177	19	19,,,,,,,,,,,,,,,,,,
8,15.00	0.65	0.00	18:05:38	248	49.88	84.41	-0.3496	0.1077	0.1651	0.1828	0.0206	0.0228	0.0146	0.0161	12	22,,,,,,,,,,,,,,,,,,
9,15.00	1.15	0.00	18:05:50	252	50.78	79.87	-0.2655	0.1044	0.2674	0.2249	0.0331	0.0278	0.0234	0.0197	22	211,,,,,,,,,,,,,,,,,,
10,15.00	1.15	-0.50	18:06:02	241	49.15	72.33	-0.1969	0.1050	0.3029	0.2504	0.0383	0.0317	0.0271	0.0224	22	80,,,,,,,,,,,,,,,,,,
11,15.00	0.65	-0.50	18:06:15	278	56.11	95.28	-0.3676	0.0835	0.2059	0.1753	0.0242	0.0206	0.0171	0.0146	19	22,,,,,,,,,,,,,,,,,,
12,15.00	0.15	-0.50	18:06:27	235	47.08	94.78	-0.3534	0.0772	0.1744	0.1882	0.0224	0.0241	0.0158	0.0171	12	19,,,,,,,,,,,,,,,,,,
13,15.00	-0.35	-0.50	18:06:39	239	48.14	94.78	-0.3392	0.0720	0.1682	0.1836	0.0214	0.0233	0.0151	0.0165	16	28,,,,,,,,,,,,,,,,,,
14,15.00	-0.85	-0.50	18:06:51	219	44.08	95.91	-0.4112	0.0296	0.1960	0.1800	0.0260	0.0239	0.0184	0.0169	12	25,,,,,,,,,,,,,,,,,,
15,15.00	-0.85	-1.00	18:07:03	216	43.91	95.70	-0.3427	0.0753	0.1746	0.2003	0.0233	0.0268	0.0165	0.0189	16	25,,,,,,,,,,,,,,,,,,
16,15.00	-0.35	-1.00	18:07:15	269	54.46	94.25	-0.3621	0.0376	0.1742	0.1834	0.0209	0.0220	0.0147	0.0155	12	32,,,,,,,,,,,,,,,,,,
17,15.00	0.15	-1.00	18:07:27	250	50.21	96.30	-0.3633	0.0665	0.1763	0.1788	0.0219	0.0222	0.0155	0.0157	12	22,,,,,,,,,,,,,,,,,,
18,15.00	0.65	-1.00	18:07:40	267	53.55	93.30	-0.3528	0.0708	0.2039	0.1743	0.0245	0.0209	0.0173	0.0148	19	22,,,,,,,,,,,,,,,,,,
19,15.00	1.15	-1.00	18:07:52	186	37.23	70.61	-0.1643	0.1051	0.2991	0.2113	0.0431	0.0304	0.0305	0.0215	19	505,,,,,,,,,,,,,,,,,,
20,15.00	1.15	-1.50	18:08:04	297	59.14	84.33	-0.1416	0.0934	0.2926	0.2244	0.0333	0.0256	0.0236	0.0181	16	25,,,,,,,,,,,,,,,,,,
21,15.00	0.65	-1.50	18:08:17	209	42.08	90.03	-0.3412	0.0920	0.2146	0.2015	0.0292	0.0274	0.0206	0.0194	16	22,,,,,,,,,,,,,,,,,,
22,15.00	0.15	-1.50	18:08:29	227	45.66	95.53	-0.4011	0.0452	0.1740	0.1758	0.0227	0.0229	0.0160	0.0162	12	19,,,,,,,,,,,,,,,,,,
23,15.00	-0.35	-1.50	18:08:41	237	47.78	96.97	-0.3838	0.0443	0.1698	0.1849	0.0217	0.0236	0.0153	0.0167	12	28,,,,,,,,,,,,,,,,,,
24,15.00	-0.85	-1.50	18:08:53	232	46.90	97.11	-0.3620	0.0479	0.1971	0.1908	0.0254	0.0246	0.0180	0.0174	16	32,,,,,,,,,,,,,,,,,,
25,15.00	-1.35	-1.50	18:09:06	257	51.70	92.98	-0.3334	0.0153	0.2360	0.1978	0.0289	0.0242	0.0204	0.0171	12	19,,,,,,,,,,,,,,,,,,
26,15.00	-1.35	-2.00	18:09:18	220	44.75	95.55	-0.3086	0.0193	0.2532	0.1903	0.0335	0.0252	0.0237	0.0178	16	25,,,,,,,,,,,,,,,,,,
27,15.00	-0.85	-2.00	18:09:31	182	36.74	94.25	-0.4141	0.0279	0.1951	0.1844	0.0284	0.0269	0.0201	0.0190	16	28,,,,,,,,,,,,,,,,,,
28,15.00	-0.35	-2.00	18:09:43	216	43.44	93.81	-0.3975	0.0872	0.1643	0.2146	0.0220	0.0287	0.0155	0.0203	12	19,,,,,,,,,,,,,,,,,,
29,15.00	0.15	-2.00	18:09:55	254	50.99	95.72	-0.3843	0.0457	0.1798	0.1890	0.0222	0.0233	0.0157	0.0165	12	22,,,,,,,,,,,,,,,,,,
30,15.00	0.65	-2.00	18:10:08	218	44.39	96.65	-0.3754	0.0920	0.2020	0.1780	0.0269	0.0237	0.0190	0.0167	19	22,,,,,,,,,,,,,,,,,,
31,15.00	1.15	-2.00	18:10:20	278	55.98	92.40	-0.1796	0.1034	0.2694	0.1944	0.0317	0.0229	0.0224	0.0162	16	25,,,,,,,,,,,,,,,,,,
32,15.00	1.15	-2.50	18:10:32	230	47.02	92.30	-0.1661	0.1296	0.2169	0.1827	0.0281	0.0237	0.0199	0.0167	12	16,,,,,,,,,,,,,,,,,,
