DXEX v3
C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t04.lda
07:34:14
15.00 mm;-0.85 mm;0.00 mm
15_90_sub1
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Data Rate{1} [#/s]"	"Validation{1} [%]"	"LDA1-Mean [m/s]"	"LDA2-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2-AnodeCur [uA]"	
15.00	-0.85	0.00	07:34:14	342	68.57	89.79	-0.3358	0.0274	0.1914	0.1810	0.0203	0.0192	0.0144	0.0136	12	38
15.00	-0.35	0.00	07:34:31	357	71.60	93.86	-0.3846	0.0425	0.1736	0.1953	0.0180	0.0203	0.0128	0.0143	16	38
15.00	0.15	0.00	07:34:48	385	77.69	90.82	-0.3753	0.0807	0.1987	0.1865	0.0199	0.0186	0.0141	0.0132	16	28
15.00	0.65	0.00	07:35:06	386	77.30	92.59	-0.3572	0.0939	0.2047	0.1760	0.0204	0.0176	0.0145	0.0124	16	32
15.00	1.15	0.00	07:35:23	425	85.08	86.49	-0.0853	0.1211	0.3227	0.2443	0.0307	0.0233	0.0217	0.0164	19	70
15.00	1.15	-0.50	07:35:40	413	82.76	82.77	-0.0193	0.1243	0.3177	0.2451	0.0307	0.0237	0.0217	0.0167	19	44
15.00	0.65	-0.50	07:35:57	376	75.81	91.53	-0.3511	0.0771	0.2095	0.1995	0.0212	0.0202	0.0150	0.0143	22	32
15.00	0.15	-0.50	07:36:14	364	73.47	93.61	-0.3754	0.0790	0.1701	0.1948	0.0175	0.0200	0.0124	0.0142	12	28
15.00	-0.35	-0.50	07:36:32	353	71.19	94.65	-0.3737	0.0457	0.1754	0.1856	0.0183	0.0194	0.0130	0.0137	12	35
15.00	-0.85	-0.50	07:36:50	356	71.47	89.11	-0.3809	0.0507	0.1904	0.1895	0.0198	0.0197	0.0140	0.0139	12	35
15.00	-0.85	-1.00	07:37:07	278	55.86	91.73	-0.3983	0.0445	0.1703	0.1865	0.0201	0.0220	0.0142	0.0155	12	48
15.00	-0.35	-1.00	07:37:24	367	74.70	94.30	-0.3793	0.0812	0.1697	0.1833	0.0174	0.0188	0.0123	0.0133	12	35
15.00	0.15	-1.00	07:37:41	363	73.61	94.72	-0.3842	0.0719	0.1761	0.1900	0.0181	0.0196	0.0128	0.0138	16	28
15.00	0.65	-1.00	07:37:58	364	73.41	93.12	-0.3321	0.1020	0.2555	0.1758	0.0263	0.0181	0.0186	0.0128	22	25
15.00	1.15	-1.00	07:38:16	352	70.94	83.19	-0.0859	0.1174	0.3181	0.2375	0.0333	0.0248	0.0235	0.0176	19	70
15.00	1.15	-1.50	07:38:33	333	66.54	83.62	-0.0922	0.1077	0.2632	0.2214	0.0283	0.0238	0.0200	0.0168	16	80
15.00	0.65	-1.50	07:38:50	344	69.32	95.31	-0.2884	0.1055	0.2497	0.1815	0.0264	0.0192	0.0187	0.0136	22	32
15.00	0.15	-1.50	07:39:07	352	71.10	92.52	-0.3607	0.0869	0.1905	0.1722	0.0199	0.0180	0.0141	0.0127	12	28
15.00	-0.35	-1.50	07:39:25	356	71.50	96.33	-0.4019	0.0708	0.1718	0.1907	0.0179	0.0198	0.0126	0.0140	12	32
15.00	-0.85	-1.50	07:39:42	292	58.92	89.28	-0.3924	0.0466	0.1836	0.1907	0.0211	0.0219	0.0149	0.0155	12	38
15.00	-1.35	-1.50	07:40:00	357	71.54	85.86	-0.3237	0.0222	0.2366	0.1955	0.0246	0.0203	0.0174	0.0144	16	35
15.00	-1.35	-2.00	07:40:17	349	70.12	87.26	-0.2767	0.0117	0.2337	0.1912	0.0246	0.0201	0.0174	0.0142	12	25
15.00	-0.85	-2.00	07:40:34	286	57.37	91.79	-0.3656	0.0572	0.2195	0.1944	0.0255	0.0226	0.0180	0.0160	12	32
15.00	-0.35	-2.00	07:40:51	313	62.76	95.10	-0.4078	0.0556	0.1882	0.1859	0.0209	0.0206	0.0148	0.0146	16	32
15.00	0.15	-2.00	07:41:08	329	66.07	87.84	-0.3616	0.1101	0.2051	0.1960	0.0222	0.0212	0.0157	0.0150	12	28
15.00	0.65	-2.00	07:41:26	332	66.85	95.03	-0.2649	0.1178	0.2327	0.1723	0.0251	0.0186	0.0177	0.0131	19	28
15.00	1.15	-2.00	07:41:43	300	60.28	88.77	-0.1148	0.1018	0.2343	0.1860	0.0266	0.0211	0.0188	0.0149	12	25
15.00	1.15	-2.50	07:42:00	239	48.40	92.64	-0.1067	0.1564	0.2056	0.1752	0.0261	0.0223	0.0185	0.0157	12	22
15.00	0.65	-2.50	07:42:17	305	61.30	91.95	-0.2636	0.1380	0.2136	0.1712	0.0240	0.0192	0.0170	0.0136	22	35
15.00	0.15	-2.50	07:42:35	317	64.06	93.94	-0.3186	0.1038	0.1905	0.1765	0.0210	0.0195	0.0149	0.0138	12	25
15.00	-0.35	-2.50	07:42:52	343	68.99	91.00	-0.3700	0.0490	0.1858	0.1789	0.0197	0.0190	0.0139	0.0134	12	25
15.00	-0.85	-2.50	07:43:10	276	56.11	89.86	-0.3222	0.0109	0.2244	0.1833	0.0265	0.0217	0.0188	0.0153	12	22
15.00	-1.35	-2.50	07:43:27	322	65.00	91.66	-0.2858	-0.0129	0.2191	0.1740	0.0240	0.0190	0.0169	0.0135	12	35
15.00	-1.85	-3.00	07:43:44	323	64.77	94.20	-0.1109	-0.0778	0.1824	0.1640	0.0199	0.0179	0.0141	0.0127	19	28
15.00	-1.35	-3.00	07:44:01	296	59.98	90.86	-0.2233	-0.0341	0.2113	0.1633	0.0241	0.0186	0.0171	0.0132	16	25
15.00	-0.85	-3.00	07:44:19	313	62.69	92.40	-0.2914	-0.0047	0.1946	0.1675	0.0216	0.0186	0.0153	0.0131	16	25
15.00	-0.35	-3.00	07:44:36	285	57.31	92.26	-0.3187	0.0714	0.1866	0.1692	0.0217	0.0197	0.0153	0.0139	16	25
